Times,Mua,NhietDo,DoAm,KhiAp,ThoiGiangNBenTre,TDoGioAvg10,HGioAvg10,
01/09/2024 00:00,0.0,24.8,94,1009.3,0,0.5,346,
01/09/2024 00:10,0.0,24.8,95,1009.2,0,0.6,297,
01/09/2024 00:20,0.0,24.9,95,1008.9,0,0.5,306,
01/09/2024 00:30,0.0,24.9,95,1008.7,0,0.2,324,
01/09/2024 00:40,0.0,25.0,95,1008.6,0,0.4,324,
01/09/2024 00:50,0.0,25.1,95,1008.4,0,0.0,36,
01/09/2024 01:00,0.0,25.1,95,1008.3,0,0.0,45,
01/09/2024 01:10,0.0,25.2,95,1008.1,0,0.0,323,
01/09/2024 01:20,0.0,25.2,95,1007.9,0,0.0,249,
01/09/2024 01:30,0.0,25.2,94,1007.8,0,0.0,270,
01/09/2024 01:40,0.0,25.3,94,1007.7,0,0.0,257,
01/09/2024 01:50,0.0,25.3,94,1007.5,0,0.2,243,
01/09/2024 02:00,0.0,25.4,94,1007.5,0,0.1,256,
01/09/2024 02:10,0.0,25.4,94,1007.5,0,0.1,324,
01/09/2024 02:20,0.0,25.4,94,1007.3,0,0.0,304,
01/09/2024 02:30,0.0,25.5,94,1007.5,0,1.0,256,
01/09/2024 02:40,0.0,25.5,94,1007.5,0,0.7,264,
01/09/2024 02:50,0.0,25.5,94,1007.7,0,0.4,300,
01/09/2024 03:00,0.0,25.5,94,1007.7,0,0.0,6,
01/09/2024 03:10,0.0,25.5,95,1007.7,0,0.0,315,
01/09/2024 03:20,0.0,25.5,95,1007.8,0,0.1,229,
01/09/2024 03:30,0.0,25.5,95,1007.8,0,0.0,212,
01/09/2024 03:40,0.0,25.5,95,1007.9,0,0.0,256,
01/09/2024 03:50,0.0,25.5,95,1007.9,0,0.0,194,
01/09/2024 04:00,0.0,25.6,94,1008.1,0,0.0,153,
01/09/2024 04:10,0.0,25.6,95,1008.1,0,0.0,166,
01/09/2024 04:20,0.0,25.6,95,1008.1,0,0.0,0,
01/09/2024 04:30,0.0,25.6,95,1008.1,0,0.0,77,
01/09/2024 04:40,0.0,25.6,95,1007.9,0,0.0,69,
